objectid,filename,title,format,date,subject,creator,description,language,publisher
somethinginblood0000skal_m5f2,https://archive.org/details/somethinginblood0000skal_m5f2/mode/2up?view=theater,"Something in the blood : the untold story of Bram Stoker, the man who wrote Dracula",application/pdf,2016,Bram Stoker; Dracula; Vampires; 19th century literature; Biography,"Skal, David J.",A groundbreaking biography reveals the haunted origins of the man who created Dracula and traces the psychosexual contours of late Victorian society...,en,New York : Liveright Publishing Corporation
somethinginblood0000skal,https://archive.org/details/somethinginblood0000skal/mode/2up?view=theater,"Something in the blood : the untold story of Bram Stoker, the man who wrote Dracula",application/pdf,2016,Bram Stoker; Dracula; Vampires; 19th century literature; Biography,"Skal, David J.","First published in 1897, Dracula has had a long and multifaceted afterlife - one rivaling even its immortal creation, yet Bram Stoker has remained a hovering specter in this pervasive mythology...",en,New York : Liveright Publishing Corporation
sexualitaygothicm0000jone,https://archive.org/details/sexualitaygothicm0000jone/mode/2up?view=theater,"Sexuality and the Gothic magic lantern : desire, eroticism and literary visibilities from Byron to Bram Stoker",application/pdf,2014,Bram Stoker; Dracula; Vampires; 19th century literature; Sexuality; Eroticism; Literary criticism,"Jones, David J.","This fascinating study explores the multifarious erotic themes associated with the magic lantern shows, which proved the dominant visual medium of the West for 350 years, and analyses how the shows influenced the portrayals of sexuality in major works of Gothic fiction...",en,Basingstoke : Palgrave Macmillan
manwhowrotedracu00fars,https://archive.org/details/manwhowrotedracu00fars/mode/2up?view=theater,The man who wrote Dracula : a biography of Bram Stoker,application/pdf,1976,Bram Stoker; Dracula; Vampires; 19th century literature; Biography,"Farson, Daniel",A biography of Bram Stoker.,en,New York : St. Martin's Press
manwhowrotedracu00dani,https://archive.org/details/manwhowrotedracu00dani/mode/2up?view=theater,The man who wrote Dracula : a biography of Bram Stoker,application/pdf,1975,Bram Stoker; Dracula; Vampires; 19th century literature; Biography,"Farson, Daniel",A biography of Bram Stoker.,en,London : M. Joseph
manwhowrotedracu0000unse,https://archive.org/details/manwhowrotedracu0000unse/mode/2up?view=theater,The man who wrote Dracula : a biography of Bram Stoker,application/pdf,1976,Bram Stoker; Dracula; Vampires; 19th century literature; Biography,"Farson, Daniel",A biography of Bram Stoker.,en,New York : St. Martin's Press
lureofvampiregen0000will,https://archive.org/details/lureofvampiregen0000will/mode/2up?view=theater,"The lure of the vampire : gender, fiction and fandom from Bram Stoker to Buffy",application/pdf,2005,Bram Stoker; Dracula; Vampires; 19th century literature; Gender; Literary criticism,"Williamson, Milly",This title explores the enduring myth of Dracula and vampires and just why it has remained so popular for so long...,en,London ; New York : Wallflower
lostjournalofbra0000stok,https://archive.org/details/lostjournalofbra0000stok/mode/2up?view=theater,The lost journal of Bram Stoker : the Dublin years,application/pdf,2012,Bram Stoker; Dracula; Vampires; 19th century literature; Biography; Ireland,"Stoker, Bram","Recently a long-lost notebook belonging to Dracula author, Bram Stoker, was discovered in the attic of one of his great grandsons. Published to coincide with the Centenary of Stoker's death the text of this notebook, written between 1871 and 1881 mostly in his native Dublin, will captivate scholars of Gothic literature and Dracula fans alike...",en,London : Robson Press
isbn_9781587656125,https://archive.org/details/isbn_9781587656125/mode/2up?view=theater,"Dracula, by Bram Stoker",application/pdf,2010,Bram Stoker; Dracula; Vampires; 19th century literature; Fiction,"Stoker, Bram; Lynch, Jack",Critical insights into Bram Stoker's Dracula.,en,"Pasadena, Calif. : Salem Press"
isbn_9781530168194,https://archive.org/details/isbn_9781530168194/mode/2up?view=theater,Dracula (1897) original text by Bram Stoker,application/pdf,2016,Bram Stoker; Dracula; Vampires; 19th century literature; Fiction,"Stoker, Bram",Dracula (1897) original text by Bram Stoker.,en,CreateSpace Independent Publishing Platform
